Series Name,Series Code,Country Name,Country Code,2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
GDP (current US$),NY.GDP.MKTP.CD,Trinidad and Tobago,TTO,23775659262.5735,20807716174.0546,24496397204.7176,30053446092.0128,27372285697.9477
GDP (current US$),NY.GDP.MKTP.CD,Tunisia,TUN,41905642418.825,42491780918.361,46812290143.344,44579761022.8993,48529595416.6533
GDP (current US$),NY.GDP.MKTP.CD,Turkiye,TUR,761005915750.925,720338490327.248,819865223976.115,907118434653.505,1118252964260.77
GDP (current US$),NY.GDP.MKTP.CD,Turkmenistan,TKM,45232857142.8571,45818000000,50007428571.4286,58972000000,60628857142.8571
GDP (current US$),NY.GDP.MKTP.CD,Turks and Caicos Islands,TCA,1177285211.72521,774653669.315186,1045782453.5755,1228794382.95121,1402054390.94734
GDP (current US$),NY.GDP.MKTP.CD,Tuvalu,TUV,54123198.5662913,51746594.3148543,60196405.7138393,59065982.0873657,62280311.5852172
GDP (current US$),NY.GDP.MKTP.CD,Uganda,UGA,35348155095.4215,37600368241.6657,40529788748.6737,45565333210.9108,48768955863.3175
GDP (current US$),NY.GDP.MKTP.CD,Ukraine,UKR,153883047509.577,156617722013.342,199765859570.935,161989520721.19,178757021965.008
GDP (current US$),NY.GDP.MKTP.CD,United Arab Emirates,ARE,417989721734.494,349473015336.939,415178792769.884,502731935197.487,514130432653.081
GDP (current US$),NY.GDP.MKTP.CD,United Kingdom,GBR,2851407164907.81,2696778386607.65,3143323050707.26,3114042471144.39,3380854520809.54
GDP (current US$),NY.GDP.MKTP.CD,United States,USA,21539982000000,21354105000000,23681171000000,26006893000000,27720709000000
GDP (current US$),NY.GDP.MKTP.CD,Uruguay,URY,62222325807.0578,53668636567.8667,60760798595.5436,70164683290.3776,77240830877.4597
GDP (current US$),NY.GDP.MKTP.CD,Uzbekistan,UZB,67293639798.3996,66443265418.3086,77340060003.0347,90095926567.4359,101591769702.343
GDP (current US$),NY.GDP.MKTP.CD,Vanuatu,VUT,936526267.622513,909421043.508407,950394006.532514,1022219297.50335,1126313359.21923
GDP (current US$),NY.GDP.MKTP.CD,"Venezuela RB",VEN,0,0,0,0,0
GDP (current US$),NY.GDP.MKTP.CD,Viet Nam,VNM,334365270496.667,346615738537.796,366474752771.009,410324028883.325,429716969043.572
GDP (current US$),NY.GDP.MKTP.CD,Virgin Islands (U.S.),VIR,4121000000,4229000000,4507000000,4672000000,0
GDP (current US$),NY.GDP.MKTP.CD,West Bank and Gaza,PSE,17133500000,15531700000,18109000000,19165500000,17420800000
GDP (current US$),NY.GDP.MKTP.CD,"Yemen Rep.",YEM,0,0,0,0,0
GDP (current US$),NY.GDP.MKTP.CD,Zambia,ZMB,23308667781.2258,18137764930.651,22096416932.0089,29163782140.4858,27577956471.244
GDP (current US$),NY.GDP.MKTP.CD,Zimbabwe,ZWE,25717409842.4479,26867936444.6826,27240515108.8049,32789751736.3323,35231367885.8554
